,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
data,16.47 Series A,600,44,1454,173,289,1181,1117.6,1226,1333.5,32,66 2/3,63 1/2,520
data,16.47 Series A,600,46,1511,179.3,300,1235,1168.4,1276,1390.6,32,73,63 1/2,530
data,16.47 Series A,600,48,1594,189,316,1289,1219.2,1334,1460.5,32,79 3/8,69 6/7,565
data,16.47 Series A,600,50,1670,196.8,329,1343,1270,1384,1524,28,79 3/8,76 1/5,595
data,16.47 Series A,600,52,1721,203.2,337,1394,1320.8,1435,1574.8,32,79 3/8,76 1/5,605
data,16.47 Series A,600,54,1778,209.6,349,1448,1371.6,1492,1632,32,79 3/8,76 1/5,620
data,16.47 Series A,600,56,1854,217.4,362,1502,1422.4,1543,1695.4,32,85 5/7,82 5/9,645
data,16.47 Series A,600,58,1905,222.2,370,1553,1473.2,1600,1746.2,32,85 5/7,82 5/9,655
data,16.47 Series A,600,60,1994,233.4,389,1610,1524,1657,1822.4,28,92,88 8/9,690
data,16.47 Series A,900,26,1086,139.7,286,775,660.4,749,952.5,20,73,69 6/7,465
data,16.47 Series A,900,28,1168,142.7,298,832,711.2,800,1022.4,20,79 3/8,76 1/5,485
data,16.47 Series A,900,30,1232,129.4,311,889,762,857,1085.8,20,79 3/8,76 1/5,495
data,16.47 Series A,900,32,1314,158.8,330,946,812.8,914,1155.7,20,85 5/7,82 5/9,530
data,16.47 Series A,900,34,1397,165.1,349,1006,863.6,965,1225.6,20,92,88 8/9,555
data,16.47 Series A,900,36,1460,171.4,362,1064,914.4,1022,1289,20,92,88 8/9,565
data,16.47 Series A,900,38,1460,190.5,353,1073,965.2,1099,1289,20,92,88 8/9,605
data,16.47 Series A,900,40,1511,196.8,363,1127,1016,1162,1339.8,24,92,88 8/9,620
data,16.47 Series A,900,42,1562,206.2,371,1176,1066.8,1213,1390.6,24,92,88 8/9,635
data,16.47 Series A,900,44,1648,214.4,391,1235,1117.6,1270,1463.5,24,98 3/7,95 1/4,665
data,16.47 Series A,900,46,1734,225.6,411,1292,1168.4,1334,1536.7,24,104 7/9,101 3/5,7000
data,16.47 Series A,900,48,1784,233.4,419,1343,1219.2,1384,1587.5,24,104 7/9,101 3/5,715
data,16.47 Series A,900,50,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,52,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,54,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,56,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,58,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,60,…,…,…,…,…,…,…,…,…,…,…
