Nominal Size,"Outside Diameter, inches",Average Outside Diameter Tolerance in.,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
6,6.125,0.002,0.140,5.845,0.487083333,0.1863359,1.02652E-05,0.000005
6,6.125,0.005,0.192,5.741,0.478416667,0.1797639,1.04511E-05,0.000005
6,6.125,0.002,0.192,5.741,0.478416667,0.1797639,1.04511E-05,0.000005
8,8.125,0.006,0.17,7.785,0.64875,0.3305557,7.70713E-06,0.000005
8,8.125,+0.002 / -0.004,0.17,7.785,0.64875,0.3305557,7.70713E-06,0.000005
8,8.125,0.006,0.200,7.725,0.64375,0.3254800,7.76699E-06,0.000005
8,8.125,+0.002 / -0.004,0.200,7.725,0.64375,0.3254800,7.76699E-06,0.000005
8,8.125,0.006,0.271,7.583,0.631916667,0.3136242,7.91244E-06,0.000005
8,8.125,+0.002 / -0.004,0.271,7.583,0.631916667,0.3136242,7.91244E-06,0.000005
10,10.125,0.008,0.212,9.701,0.808416667,0.5132872,6.18493E-06,0.000005
10,10.125,+0.002 / -0.006,0.212,9.701,0.808416667,0.5132872,6.18493E-06,0.000005
10,10.125,0.008,0.250,9.625,0.802083333,0.5052762,6.23377E-06,0.000005
10,10.125,+0.002 / -0.006,0.250,9.625,0.802083333,0.5052762,6.23377E-06,0.000005
10,10.125,0.008,0.338,9.449,0.787416667,0.4869665,6.34988E-06,0.000005
10,10.125,+0.002 / -0.005,0.338,9.449,0.787416667,0.4869665,6.34988E-06,0.000005
12,12.125,0.008,0.254,11.617,0.968083333,0.7360636,5.16484E-06,0.000005
12,12.125,+0.002 / -0.006,0.254,11.617,0.968083333,0.7360636,5.16484E-06,0.000005
12,12.125,0.008,0.280,11.565,0.96375,0.7294889,5.18807E-06,0.000005
12,12.125,+0.002 / -0.006,0.280,11.565,0.96375,0.7294889,5.18807E-06,0.000005
12,12.125,0.008,0.405,11.315,0.942916667,0.6982911,5.3027E-06,0.000005
12,12.125,+0.002 / -0.006,0.405,11.315,0.942916667,0.6982911,5.3027E-06,0.000005
