Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
10,250,10.75,,,0.188,10.374,0.8645,0.58698,0.000174,0.00015
10,250,10.75,,,0.203,10.344,0.862,0.58359,0.000174,0.00015
10,250,10.75,,,0.219,10.312,0.8593,0.57998,0.000175,0.00015
10,250,10.75,,20,0.25,10.25,0.8542,0.57303,0.000176,0.00015
10,250,10.75,,,0.279,10.192,0.8493,0.56656,0.000177,0.00015
10,250,10.75,,30,0.307,10.136,0.8447,0.56035,0.000178,0.00015
10,250,10.75,,,0.344,10.062,0.8385,0.5522,0.000179,0.00015
10,250,10.75,STD,40,0.365,10.02,0.835,0.5476,0.00018,0.00015
10,250,10.75,,,0.438,9.874,0.8228,0.53176,0.000182,0.00015
10,250,10.75,XS,60,0.5,9.75,0.8125,0.51849,0.000185,0.00015
10,250,10.75,,,0.562,9.626,0.8022,0.50538,0.000187,0.00015
10,250,10.75,,80,0.594,9.562,0.7968,0.49868,0.000188,0.00015
10,250,10.75,,,0.625,9.5,0.7917,0.49224,0.000189,0.00015
10,250,10.75,,100,0.719,9.312,0.776,0.47295,0.000193,0.00015
10,250,10.75,,,0.812,9.126,0.7605,0.45424,0.000197,0.00015
10,250,10.75,,120,0.844,9.062,0.7552,0.44789,0.000199,0.00015
10,250,10.75,,,0.875,9,0.75,0.44179,0.0002,0.00015
10,250,10.75,,,0.938,8.874,0.7395,0.4295,0.000203,0.00015
10,250,10.75,XXS,140,1,8.75,0.7292,0.41758,0.000206,0.00015
10,250,10.75,,160,1.125,8.5,0.7083,0.39406,0.000212,0.00015
10,250,10.75,,160,1.25,8.25,0.6875,0.37122,0.000218,0.00015
12,300,12.75,,5,0.156,12.438,1.0365,0.84378,0.000145,0.00015
12,300,12.75,,,0.172,12.406,1.0338,0.83944,0.000145,0.00015
12,300,12.75,,10,0.18,12.39,1.0325,0.83728,0.000145,0.00015
12,300,12.75,,,0.188,12.374,1.0312,0.83512,0.000145,0.00015
12,300,12.75,,,0.203,12.344,1.0287,0.83107,0.000146,0.00015
12,300,12.75,,,0.219,12.312,1.026,0.82677,0.000146,0.00015
12,300,12.75,,20,0.25,12.25,1.0208,0.81846,0.000147,0.00015
12,300,12.75,,,0.281,12.188,1.0157,0.8102,0.000148,0.00015
12,300,12.75,,,0.312,12.126,1.0105,0.80198,0.000148,0.00015
12,300,12.75,,30,0.33,12.09,1.0075,0.79722,0.000149,0.00015
12,300,12.75,,,0.344,12.062,1.0052,0.79353,0.000149,0.00015
