Nominal Size,Nominal Outside dia [in],Average Outside Diameter Tolerance in.,"Wall Thickness
in. Nom",Wall Thickness Tolerance +/-,Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Neareast 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)","Plain-End Weight
lb/ft Nom",Form,Type
0.625,0.75,0.001,c,c,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.002000,#VALUE!,#VALUE!,#VALUE!,c,Drawn,M
0.75,0.875,0.001,0.032,0.003,0.811,0.516572865,0.067583333,0.003587312,0.029593095,0.002000,0.036571429,0.01,0.00875,0.328,Drawn,M
1,1.125,0.0015,0.035,0.004,1.055,0.874167791,0.087916667,0.00607061,0.022748815,0.002000,0.031111111,0.01,0.01125,0.465,Drawn,M
1.25,1.375,0.0015,0.042,0.004,1.291,1.309008196,0.107583333,0.009090335,0.01859024,0.002000,0.030545455,0.01,0.01375,0.682,Drawn,M
1.5,1.625,0.002,0.049,0.005,1.527,1.831335674,0.12725,0.012717609,0.015717092,0.002000,0.030153846,0.01,0.01625,0.94,Drawn,M
2,2.125,0.002,0.058,0.006,2.009,3.169930605,0.167416667,0.022013407,0.011946242,0.002000,0.027294118,0.015,0.031875,1.46,Drawn,M
2.5,2.625,0.002,0.065,0.006,2.495,4.889123202,0.207916667,0.033952244,0.009619238,0.002000,0.024761905,0.015,0.039375,2.03,Drawn,M
3,3.125,0.002,0.072,0.007,2.981,6.979331609,0.248416667,0.048467581,0.00805099,0.002000,0.02304,0.015,0.046875,2.68,Drawn,M
3.5,6.625,0.002,0.083,0.008,6.459,32.76577544,0.53825,0.227540107,0.003715745,0.002000,0.012528302,0.015,0.099375,3.58,Drawn,M
4,4.125,0.002,0.095,0.01,3.935,12.16128188,0.327916667,0.084453346,0.006099111,0.002000,0.023030303,0.015,0.061875,4.66,Drawn,M
5,5.125,0.002,0.109,0.011,4.907,18.9113267,0.408916667,0.131328658,0.004890972,0.002000,0.021268293,0.015,0.076875,6.66,Drawn,M
6,6.125,0.002,0.122,0.012,5.881,27.16390733,0.490083333,0.188638245,0.004080939,0.002000,0.019918367,0.015,0.091875,8.92,Drawn,M
8,8.125,+0.002 / -0.004,0.17,0.017,7.785,47.60001781,0.64875,0.330555679,0.003082852,0.002000,0.020923077,0.015,0.121875,16.5,Drawn,M
10,10.125,+0.002 / -0.006,0.212,0.021,9.701,73.9133507,0.808416667,0.513287158,0.002473972,0.002000,0.020938272,0.015,0.151875,25.6,Drawn,M
12,12.125,+0.002 / -0.006,0.254,0.025,11.617,105.9931649,0.968083333,0.736063645,0.002065938,0.002000,0.020948454,0.015,0.181875,36.7,Drawn,M
