,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Nominal Size,Nominal Outside Dia. (in),API Std.,"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
",,
data,12.000,12.750,5L,,140,1.125,10.5000,86.59000,0.87500,0.60100,0.000150,0.000171,,
data,12.000,12.750,5L,,160,1.312,10.1260,80.53100,0.84400,0.55900,0.000150,0.000178,,
data,14.000,14.000,,,5S,0.156,13.6880,147.15300,1.14100,1.02200,0.000150,0.000132,,
data,14.000,14.000,5L,,10S*,0.188,13.6240,145.78000,1.13500,1.01200,0.000150,0.000132,,
data,14.000,14.000,,,10,0.21,13.5800,144.84000,1.13200,1.00600,0.000150,0.000133,,
data,14.000,14.000,,,,0.219,13.5620,144.45700,1.13000,1.00300,0.000150,0.000133,,
data,14.000,14.000,5L,,,0.25,13.5000,143.13900,1.12500,0.99400,0.000150,0.000133,,
data,14.000,14.000,5L,,,0.281,13.4380,141.82700,1.12000,0.98500,0.000150,0.000134,,
data,14.000,14.000,5L,,20,0.312,13.3760,140.52100,1.11500,0.97600,0.000150,0.000135,,
data,14.000,14.000,5L,,,0.344,13.3120,139.18000,1.10900,0.96700,0.000150,0.000135,,
data,14.000,14.000,5L,STD,30,0.375,13.2500,137.88600,1.10400,0.95800,0.000150,0.000136,,
data,14.000,14.000,5L,,,0.438,13.1240,135.27600,1.09400,0.93900,0.000150,0.000137,,
data,14.000,14.000,,,,0.469,13.0620,134.00100,1.08900,0.93100,0.000150,0.000138,,
data,14.000,14.000,5L,XS,,0.5,13.0000,132.73200,1.08300,0.92200,0.000150,0.000138,,
data,14.000,14.000,,,60,0.594,12.8120,128.92100,1.06800,0.89500,0.000150,0.000140,,
data,14.000,14.000,5L,,80,0.75,12.5000,122.71800,1.04200,0.85200,0.000150,0.000144,,
