,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,2.75,2.75,0.04,X,2.67,0.002
data,2.75,2.75,0.049,X,2.652,0.002
data,2.75,2.75,0.065,X,2.62,0.002
data,2.75,2.75,0.083,X,2.584,0.002
data,2.75,2.75,0.1,X,2.55,0.002
data,2.75,2.75,0.125,X,2.5,0.002
data,2.75,2.75,0.15625,X,2.4375,0.002
data,2.75,2.75,0.1875,X,2.375,0.002
data,2.75,2.75,0.25,X,2.25,0.002
data,2.75,2.75,0.3125,X,2.125,0.002
data,2.75,2.75,0.375,X,2,0.002
data,2.75,2.75,0.5,X,1.75,0.002
data,2.75,2.75,0.625,X,1.5,0.002
data,3,3,0.032,X,2.936,0.002
data,3,3,0.04,X,2.92,0.002
data,3,3,0.049,X,2.902,0.002
data,3,3,0.065,X,2.87,0.002
data,3,3,0.083,X,2.834,0.002
data,3,3,0.1,X,2.8,0.002
data,3,3,0.125,X,2.75,0.002
data,3,3,0.15625,X,2.6875,0.002
data,3,3,0.1875,X,2.625,0.002
data,3,3,0.25,X,2.5,0.002
data,3,3,0.3125,X,2.375,0.002
data,3,3,0.375,X,2.25,0.002
data,3,3,0.5,X,2,0.002
data,3,3,0.625,X,1.75,0.002
data,3.5,3.5,0.032,X,3.436,0.002
data,3.5,3.5,0.04,X,3.42,0.002
data,3.5,3.5,0.049,X,3.402,0.002
data,3.5,3.5,0.065,X,3.37,0.002
data,3.5,3.5,0.083,X,3.334,0.002
data,3.5,3.5,0.1,X,3.3,0.002
data,3.5,3.5,0.125,X,3.25,0.002
data,3.5,3.5,0.15625,X,3.1875,0.002
data,3.5,3.5,0.1875,X,3.125,0.002
data,3.5,3.5,0.25,X,3,0.002
data,3.5,3.5,0.3125,X,2.875,0.002
data,3.5,3.5,0.375,X,2.75,0.002
data,3.5,3.5,0.5,X,2.5,0.002
data,3.5,3.5,0.625,X,2.25,0.002
data,4,4,0.04,X,3.92,0.002
data,4,4,0.049,X,3.902,0.002
data,4,4,0.065,X,3.87,0.002
data,4,4,0.083,X,3.834,0.002
data,4,4,0.1,X,3.8,0.002
data,4,4,0.125,X,3.75,0.002
data,4,4,0.15625,X,3.6875,0.002
data,4,4,0.1875,X,3.625,0.002
data,4,4,0.25,X,3.5,0.002
data,4,4,0.3125,X,3.375,0.002
data,4,4,0.375,X,3.25,0.002
data,4,4,0.5,X,3,0.002
data,4,4,0.625,X,2.75,0.002
data,4.5,4.5,0.04,X,4.42,0.002
data,4.5,4.5,0.049,X,4.402,0.002
data,4.5,4.5,0.065,X,4.37,0.002
data,4.5,4.5,0.083,X,4.334,0.002
data,4.5,4.5,0.1,X,4.3,0.002
data,4.5,4.5,0.125,X,4.25,0.002
data,4.5,4.5,0.15625,X,4.1875,0.002
data,4.5,4.5,0.1875,X,4.125,0.002
data,4.5,4.5,0.25,X,4,0.002
