,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,TYPE,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O) ,Diameter Bolt Circle (W) ,Drilling-Diameter Bolt Holes ,Drilling-Number of Bolts,Drilling-Bolt Diameter ,Stud Bolts (L)- Raised Face,Machine Bolts (L)-  Raised Face,Diameter of Hub (X),Min Thickness Flange (tf) ,Bore- Min Lapped (B2) ,Length Through Hub- Lapped (Y2) ,Length through Hub-Threaded/Slip-on/Socket Weld (Y1) ,Bore- Min Slip On Socket Weld (B1) ,Diameter Beginning Chamfer Welding Neck (A),Length Through Bore- Welding Neck (Y3),Depth of socket (D),Min Thread Length Threaded (T),Min Counterbore Threaded Flange (Q)
tags,None,All,All,All,All,All,All,All,All,All,All,All,La,La,"Th, SO, SW","SO, SW",WN,WN,SW,Th,Th
data,ASME 16.5,1500,1 1/2,178,124,28.58,4,25.4,140,135,69.85,31.75,50.04,44.45,44.45,49.5,48.3,44,16,32,50.5
data,ASME 16.5,1500,2,216,165.1,25.4,8,22.23,145,140,104.648,38.1,62.48,57.15,57.15,62,60.5,57,18,38,63.5
data,ASME 16.5,1500,2 1/2,244,190.5,28.58,8,25.4,160,150,123.952,41.15,75.44,63.5,63.5,74.7,73.2,64,19,48,76.2
data,ASME 16.5,1500,3,267,203.2,28.58,8,28.58,180,170,133.35,47.75,91.44,73.15,73.15,…,88.9,…,…,…,…
data,ASME 16.5,1500,4,311,241.3,34.93,8,31.75,195,190,162.052,53.85,116.84,90.42,90.42,…,114.3,…,…,…,…
data,ASME 16.5,1500,5,375,292.1,41.28,8,38.1,250,240,196.85,73.15,144.53,104.65,104.65,…,141.2,…,…,…,…
data,ASME 16.5,1500,6,394,317.5,38.1,12,34.93,260,255,228.6,82.55,171.45,119.13,119.13,…,168.4,…,…,…,…
data,ASME 16.5,1500,8,483,393.7,44.45,12,41.28,290,285,292.1,91.95,222.25,142.75,142.75,…,219.2,…,…,…,…
data,ASME 16.5,1500,10,584,482.6,50.8,12,47.63,335,330,368.3,107.95,277.37,177.8,177.8,…,273,…,…,…,…
data,ASME 16.5,1500,12,673,571.5,53.98,16,50.8,375,370,450.85,123.95,328.17,218.95,218.95,…,323.8,…,…,…,…
data,ASME 16.5,1500,14,749,635,60.33,16,57.15,405,400,495.3,133.35,360.17,241.3,241.3,…,355.6,…,…,…,…
data,ASME 16.5,1500,16,826,704.8,66.68,16,63.5,445,440,552.45,146.05,411.23,260.35,260.35,…,406.4,…,…,…,…
data,ASME 16.5,1500,18,914,774.7,73.03,16,69.85,495,490,596.9,162.05,462.28,276.35,276.35,…,457.2,…,…,…,…
data,ASME 16.5,1500,20,984,831.8,79.38,16,76.2,540,535,641.35,177.8,514.35,292.1,292.1,…,508,…,…,…,…
data,ASME 16.5,1500,24,1168,990.6,92.08,16,76.2,615,610,762,203.2,615.95,330.2,330.2,…,609.6,…,…,…,…
data,ASME 16.5,2500, 1/2,133,88.9,22.23,4,19.05,120,115,42.926,30.23,22.86,39.62,39.62,-,21.3,40,-,28,23.6
data,ASME 16.5,2500, 3/4,140,95.2,22.23,4,19.05,125,120,50.8,31.75,28.194,42.93,42.93,-,26.7,43,-,32,29
data,ASME 16.5,2500,1,159,108,25.4,4,22.23,140,135,57.15,35.05,35.052,47.75,47.75,-,33.5,52,-,35,35.8
data,ASME 16.5,2500,1 1/4,184,130,28.58,4,25.4,150,145,73.152,38.1,43.688,52.32,52.32,-,42.2,60,-,38,44.4
data,ASME 16.5,2500,1 1/2,203,146,31.75,4,28.58,170,165,79.248,44.45,50.038,60.45,60.45,-,48.3,70,-,44,50.5
data,ASME 16.5,2500,2,235,171.4,28.58,8,25.4,180,170,95.25,50.8,62.484,69.85,69.85,-,60.5,79,-,51,63.5
data,ASME 16.5,2500,2 1/2,267,196.8,31.75,8,28.58,195,190,114.3,57.15,75.438,79.25,79.25,-,73.2,…,-,57,76.2
data,ASME 16.5,2500,3,305,228.6,34.93,8,31.75,220,215,133.35,66.55,91.44,91.95,91.95,-,88.9,…,-,…,…
data,ASME 16.5,2500,4,356,273,41.28,8,38.1,255,250,165.1,76.2,116.84,107.95,107.95,-,114.3,…,-,…,…
data,ASME 16.5,2500,5,419,323.8,47.63,8,44.45,300,290,203.2,91.95,144.526,130.05,130.05,-,141.2,…,-,…,…
data,ASME 16.5,2500,6,483,368.3,53.98,8,50.8,345,335,234.95,107.95,171.45,152.4,152.4,-,168.4,…,-,…,…
data,ASME 16.5,2500,8,552,438.2,53.98,12,50.8,380,375,304.8,127,222.25,177.8,177.8,-,219.2,…,-,…,…
data,ASME 16.5,2500,10,673,539.8,66.68,12,63.5,490,485,374.65,165.1,277.368,228.6,228.6,-,273,…,-,…,…
data,ASME 16.5,2500,12,762,619.3,73.03,12,69.85,540,535,441.452,184.15,328.168,254,254,-,323.8,…,-,…,…
