,numeric,numeric,text,,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,8,8.625,DR27.5-150 psi,,0.210365854,8.191646341,0.682637195,0.365990471,7.32E-06,0.000007
data,10,10.75,DR27.5-150 psi,,0.262195122,10.20987805,0.850823171,0.568549784,5.88E-06,0.000007
data,12,12.75,DR27.5-150 psi,,0.31097561,12.10939024,1.009115854,0.799782578,4.95E-06,0.000007
data,14,14,DR27.5-150 psi,,0.341463415,13.29658537,1.10804878,0.964289952,4.51E-06,0.000007
data,16,16,DR32.5-125 psi,,0.390243902,15.19609756,1.266341463,1.259480754,3.95E-06,0.000007
data,18,18,DR32.5-125 psi,,0.43902439,17.09560976,1.424634146,1.594030329,3.51E-06,0.000007
data,20,20,DR32.5-125 psi,,0.487804878,18.99512195,1.582926829,1.967938678,3.16E-06,0.000007
data,24,24,DR32.5-125 psi,,0.585365854,22.79414634,1.899512195,2.833831697,2.63E-06,0.000007
data,30,30,DR32.5-125 psi,,0.731707317,28.49268293,2.374390244,4.427862026,2.11E-06,0.000007
data,36,36,DR32.5-125 psi,,0.87804878,34.19121951,2.849268293,6.376121318,1.75E-06,0.000007
