,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Average Outside Diameter Tolerance in.,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
data,1.25,1.375,0.004,0.042,1.291,0.107583333,0.009090335,0.01859024,0.002,ASTM B88-22
data,1.5,1.625,0.0045,0.049,1.527,0.12725,0.012717609,0.015717092,0.002,ASTM B88-22
data,2,2.125,0.005,0.058,2.009,0.167416667,0.022013407,0.011946242,0.002,ASTM B88-22
data,2.5,2.625,0.005,0.065,2.495,0.207916667,0.033952244,0.009619238,0.002,ASTM B88-22
data,3,3.125,0.005,0.072,2.981,0.248416667,0.048467581,0.00805099,0.002,ASTM B88-22
data,3.5,6.625,0.005,0.083,6.459,0.53825,0.227540107,0.003715745,0.002,ASTM B88-22
data,4,4.125,0.005,0.095,3.935,0.327916667,0.084453346,0.006099111,0.002,ASTM B88-22
data,5,5.125,0.005,0.109,4.907,0.408916667,0.131328658,0.004890972,0.002,ASTM B88-22
data,6,6.125,0.005,0.122,5.881,0.490083333,0.188638245,0.004080939,0.002,ASTM B88-22
data,8,8.125,0.006,0.17,7.785,0.64875,0.330555679,0.003082852,0.002,ASTM B88-22
data,10,10.125,0.008,0.212,9.701,0.808416667,0.513287158,0.002473972,0.002,ASTM B88-22
data,12,12.125,0.008,0.254,11.617,0.968083333,0.736063645,0.002065938,0.002,ASTM B88-22
data,0.375,0.5,0.001,0.025,0.45,0.0375,0.001104466,0.053333333,0.002,ASTM B88-22
data,0.5,0.625,0.001,0.028,0.569,0.047416667,0.001765842,0.042179262,0.002,ASTM B88-22
data,0.75,0.875,0.001,0.032,0.811,0.067583333,0.003587312,0.029593095,0.002,ASTM B88-22
data,1,1.125,0.0015,0.035,1.055,0.087916667,0.00607061,0.022748815,0.002,ASTM B88-22
data,1.25,1.375,0.0015,0.042,1.291,0.107583333,0.009090335,0.01859024,0.002,ASTM B88-22
data,1.5,1.625,0.002,0.049,1.527,0.12725,0.012717609,0.015717092,0.002,ASTM B88-22
data,2,2.125,0.002,0.058,2.009,0.167416667,0.022013407,0.011946242,0.002,ASTM B88-22
data,2.5,2.625,0.002,0.065,2.495,0.207916667,0.033952244,0.009619238,0.002,ASTM B88-22
data,3,3.125,0.002,0.072,2.981,0.248416667,0.048467581,0.00805099,0.002,ASTM B88-22
data,3.5,6.625,0.002,0.083,6.459,0.53825,0.227540107,0.003715745,0.002,ASTM B88-22
data,4,4.125,0.002,0.095,3.935,0.327916667,0.084453346,0.006099111,0.002,ASTM B88-22
data,5,5.125,0.002,0.109,4.907,0.408916667,0.131328658,0.004890972,0.002,ASTM B88-22
data,6,6.125,0.002,0.122,5.881,0.490083333,0.188638245,0.004080939,0.002,ASTM B88-22
data,8,8.125,-0.5,0.17,7.785,0.64875,0.330555679,0.003082852,0.002,ASTM B88-22
data,10,10.125,-0.333333333,0.212,9.701,0.808416667,0.513287158,0.002473972,0.002,ASTM B88-22
data,12,12.125,-0.333333333,0.254,11.617,0.968083333,0.736063645,0.002065938,0.002,ASTM B88-22
