,numeric,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,5    ,125    ,5.563,,,0.125,5.313,0.4428,0.1539597,0.000339,0.000150
data,5,125,5.563,,,0.156,5.251,0.4376,0.1503874,0.000343,0.000150
data,5,125,5.563,,,0.188,5.187,0.4323,0.1467438,0.000347,0.000150
data,5,125,5.563,,,0.219,5.125,0.4271,0.1432568,0.000351,0.000150
data,5,125,5.563,,,0.281,5.001,0.4168,0.1364084,0.000360,0.000150
data,5,125,5.563,,,0.312,4.939,0.4116,0.1330471,0.000364,0.000150
data,5,125,5.563,,,0.344,4.875,0.4063,0.1296214,0.000369,0.000150
data,6,150,6.625,STD,40,0.280,6.065,0.5054,0.2006268,0.000297,0.000150
data,6,150,6.625,XS,80,0.432,5.761,0.4801,0.1810186,0.000312,0.000150
data,6,150,6.625,XXS,,0.864,4.897,0.4081,0.1307939,0.000368,0.000150
data,6    ,150    ,6.625,,5,0.109,6.407,0.5339,0.2238911,0.000281,0.000150
data,6    ,150    ,6.625,,10,0.134,6.357,0.5298,0.2204103,0.000283,0.000150
data,6,150,6.625,,120,0.562,5.501,0.4584,0.1650482,0.000327,0.000150
data,6,150,6.625,,160,0.719,5.187,0.4323,0.1467438,0.000347,0.000150
data,6    ,150    ,6.625,,,0.083,6.459,0.5383,0.2275401,0.000279,0.000150
data,6    ,150    ,6.625,,,0.125,6.375,0.5313,0.2216602,0.000282,0.000150
data,6    ,150    ,6.625,,,0.141,6.343,0.5286,0.2194405,0.000284,0.000150
data,6    ,150    ,6.625,,,0.156,6.313,0.5261,0.2173697,0.000285,0.000150
data,6    ,150    ,6.625,,,0.172,6.281,0.5234,0.2151716,0.000287,0.000150
data,6,150,6.625,,,0.188,6.249,0.5208,0.2129847,0.000288,0.000150
data,6    ,150    ,6.625,,,0.203,6.219,0.5183,0.2109446,0.000289,0.000150
data,6,150,6.625,,,0.219,6.187,0.5156,0.2087794,0.000291,0.000150
data,6,150,6.625,,,0.250,6.125,0.5104,0.2046160,0.000294,0.000150
data,6,150,6.625,,,0.312,6.001,0.5001,0.1964150,0.000300,0.000150
data,6,150,6.625,,,0.344,5.937,0.4948,0.1922478,0.000303,0.000150
data,6,150,6.625,,,0.375,5.875,0.4896,0.1882535,0.000306,0.000150
data,6    ,150    ,6.625,,,0.500,5.625,0.4688,0.1725728,0.000320,0.000150
data,6    ,150    ,6.625,,,0.625,5.375,0.4479,0.1575739,0.000335,0.000150
data,6    ,150    ,6.625,,,0.750,5.125,0.4271,0.1432568,0.000351,0.000150
data,6,150,6.625,,,0.875,4.875,0.4063,0.1296214,0.000369,0.000150
data,8,200,8.625,STD,40,0.322,7.981,0.6651,0.3474098,0.000226,0.000150
data,8,200,8.625,XS,80,0.500,7.625,0.6354,0.3171079,0.000236,0.000150
data,8    ,200    ,8.625,XXS,,0.875,6.875,0.5729,0.2577940,0.000262,0.000150
data,8,200,8.625,,5,0.109,8.407,0.7006,0.3854868,0.000214,0.000150
data,8,200,8.625,,10,0.148,8.329,0.6941,0.3783669,0.000216,0.000150
data,8,200    ,8.625,,20,0.250,8.125,0.6771,0.3600594,0.000222,0.000150
data,8,200    ,8.625,,60,0.406,7.813,0.6511,0.3329377,0.000230,0.000150
data,8,200,8.625,,100,0.594,7.437,0.6198,0.3016636,0.000242,0.000150
data,8,200,8.625,,120,0.719,7.187,0.5989,0.2817232,0.000250,0.000150
data,8,200,8.625,,140,0.812,7.001,0.5834,0.2673299,0.000257,0.000150
data,8    ,200    ,8.625,,160,0.906,6.813,0.5678,0.2531653,0.000264,0.000150
data,8,200,8.625,,,0.125,8.375,0.6979,0.3825578,0.000215,0.000150
data,8,200,8.625,,,0.156,8.313,0.6928,0.3769146,0.000217,0.000150
data,8,200,8.625,,,0.188,8.249,0.6874,0.3711334,0.000218,0.000150
data,8,200,8.625,,,0.203,8.219,0.6849,0.3684388,0.000219,0.000150
data,8,200,8.625,,,0.219,8.187,0.6823,0.3655754,0.000220,0.000150
data,8,200,8.625,,,0.277,8.071,0.6726,0.3552893,0.000223,0.000150
data,8,200,8.625,,,0.312,8.001,0.6668,0.3491531,0.000225,0.000150
data,8,200,8.625,,,0.344,7.937,0.6614,0.3435897,0.000227,0.000150
data,8,200,8.625,,,0.375,7.875,0.6563,0.3382428,0.000229,0.000150
data,8    ,200    ,8.625,,,0.438,7.749,0.6458,0.3275056,0.000232,0.000150
data,8    ,200    ,8.625,,,0.562,7.501,0.6251,0.3068780,0.000240,0.000150
data,8    ,200    ,8.625,,,0.625,7.375,0.6146,0.2966548,0.000244,0.000150
data,8,200,8.625,,,0.750,7.125,0.5938,0.2768835,0.000253,0.000150
data,8    ,200    ,8.625,,,1.000,6.625,0.5521,0.2393862,0.000272,0.000150
data,10,250,10.75,STD,40,0.365,10.020,0.8350,0.5475992,0.000180,0.000150
data,10,250,10.75,XS,60,0.500,9.750,0.8125,0.5184855,0.000185,0.000150
data,10,250,10.75,XXS,140,1.000,8.750,0.7292,0.4175837,0.000206,0.000150
data,10,250,10.75,,5,0.134,10.482,0.8735,0.5992606,0.000172,0.000150
data,10,250,10.75,,10,0.165,10.420,0.8683,0.5921924,0.000173,0.000150
