,numeric,numeric,numeric,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,DN,Nominal Outside dia [in],Outside Diameter (Min),Outside Diameter (Max),"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom","Wall Thickness, in. Min","Wall Thickness, in. Maxc",Wall Thickness Tolerance +/-,"Wall Thickness Tolerance, Average Outside Diameter, all minus",Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Neareast 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)","Plain-End Weight
lb/ft Nom","Plain-End Weight
lb/ft Max"
data,4,100,4.5,,,,5,0.083,,,,,4.334,14.7526,0.3612,0.10245,0.000019,0.000007,,,,1.354000,--
data,4,100,4.5,,,,10,0.120,,,,,4.260,14.2531,0.3550,0.09898,0.000019,0.000007,,,,3.733000,4.031000
data,4,100,4.5,,,,40,0.237,,,,,4.026,12.7303,0.3355,0.08840,0.000020,0.000007,,,,9.353000,10.100000
data,4,100,4.5,,,,80,0.337,,,,,3.826,11.4969,0.3188,0.07984,0.000021,0.000007,,,,6.564000,7.089000
data,4,100,4.5,,,,120,0.438,,,,,3.624,10.3149,0.3020,0.07163,0.000023,0.000007,,,,9.884000,10.670000
data,4,100,4.5,,,,160,0.531,,,,,3.438,9.2833,0.2865,0.06447,0.000024,0.000007,,,,12.590000,13.600000
data,5,125,5.563,,,,5,0.109,,,,,5.345,22.4381,0.4454,0.15582,0.000015,0.000007,,,,4.635000,--
data,5,125,5.563,,,,10,0.134,,,,,5.295,22.0202,0.4413,0.15292,0.000015,0.000007,,,,8.543000,9.227000
data,5,125,5.563,,,STD,40,0.258,,,,,5.047,20.0058,0.4206,0.13893,0.000016,0.000007,,,,17.620000,19.030000
data,5,125,5.563,,,XS,80,0.375,,,,,4.813,18.1937,0.4011,0.12635,0.000017,0.000007,,,,5.256000,--
data,5,125,5.563,,,,120,0.500,,,,,4.563,16.3528,0.3803,0.11356,0.000018,0.000007,,,,6.453000,--
