,numeric,numeric,text,,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,14,15.3,DR32.5-125 psi,,0.470769231,14.33021538,1.194184615,1.120038175,4.19E-06,0.000007
data,14,15.3,DR41-100 psi,,0.373170732,14.53126829,1.210939024,1.151686913,4.13E-06,0.000007
data,16,17.4,DR14-305 psi,,1.242857143,14.83971429,1.236642857,1.201098067,4.04E-06,0.000007
data,16,17.4,DR17-250 psi,,1.023529412,15.29152941,1.274294118,1.275349564,3.92E-06,0.000007
data,16,17.4,DR18-235 psi,,0.966666667,15.40866667,1.284055556,1.294963447,3.89E-06,0.000007
data,16,17.4,DR21-200 psi,,0.828571429,15.69314286,1.307761905,1.343220297,3.82E-06,0.000007
data,16,17.4,DR25-165 psi,,0.696,15.96624,1.33052,1.390377386,3.76E-06,0.000007
data,16,17.4,DR27.5-150 psi,,0.632727273,16.09658182,1.341381818,1.413170985,3.73E-06,0.000007
data,16,17.4,DR32.5-125 psi,,0.535384615,16.29710769,1.358092308,1.448599931,3.68E-06,0.000007
data,16,17.4,DR41-100 psi,,0.424390244,16.5257561,1.377146341,1.489532786,3.63E-06,0.000007
data,18,19.5,DR14-305 psi,,1.392857143,16.63071429,1.385892857,1.508513476,3.61E-06,0.000007
data,18,19.5,DR17-250 psi,,1.147058824,17.13705882,1.428088235,1.601769295,3.50E-06,0.000007
data,18,19.5,DR18-235 psi,,1.083333333,17.26833333,1.439027778,1.626403259,3.47E-06,0.000007
data,18,19.5,DR21-200 psi,,0.928571429,17.58714286,1.465595238,1.687011223,3.41E-06,0.000007
data,18,19.5,DR25-165 psi,,0.78,17.8932,1.4911,1.746237948,3.35E-06,0.000007
data,18,19.5,DR27.5-150 psi,,0.709090909,18.03927273,1.503272727,1.774865462,3.33E-06,0.000007
data,18,19.5,DR32.5-125 psi,,0.6,18.264,1.522,1.819362279,3.29E-06,0.000007
data,18,19.5,DR41-100 psi,,0.475609756,18.5202439,1.543353659,1.870771706,3.24E-06,0.000007
data,18,19.5,DR51 - 80 psi,,0.382352941,18.71235294,1.559362745,1.909783733,3.21E-06,0.000007
data,20,21.6,DR14-305 psi,,1.542857143,18.42171429,1.535142857,1.850919257,3.26E-06,0.000007
data,20,21.6,DR17-250 psi,,1.270588235,18.98258824,1.581882353,1.965342491,3.16E-06,0.000007
data,20,21.6,DR18-235 psi,,1.2,19.128,1.594,1.995567928,3.14E-06,0.000007
data,20,21.6,DR21-200 psi,,1.028571429,19.48114286,1.623428571,2.069932824,3.08E-06,0.000007
data,20,21.6,DR25-165 psi,,0.864,19.82016,1.65168,2.142602964,3.03E-06,0.000007
data,20,21.6,DR27.5-150 psi,,0.785454545,19.98196364,1.665163636,2.177728415,3.00E-06,0.000007
data,20,21.6,DR32.5-125 psi,,0.664615385,20.23089231,1.685907692,2.23232522,2.97E-06,0.000007
data,20,21.6,DR41-100 psi,,0.526829268,20.51473171,1.709560976,2.295403674,2.92E-06,0.000007
data,20,21.6,DR51 - 80 psi,,0.423529412,20.72752941,1.727294118,2.343270739,2.89E-06,0.000007
data,24,25.8,DR14-305 psi,,1.842857143,22.00371429,1.833642857,2.640701933,2.73E-06,0.000007
data,24,25.8,DR17-250 psi,,1.517647059,22.67364706,1.889470588,2.803949279,2.65E-06,0.000007
data,24,25.8,DR18-235 psi,,1.433333333,22.84733333,1.903944444,2.847071835,2.63E-06,0.000007
data,24,25.8,DR21-200 psi,,1.228571429,23.26914286,1.939095238,2.953168049,2.58E-06,0.000007
data,24,25.8,DR25-165 psi,,1.032,23.67408,1.97284,3.056846358,2.53E-06,0.000007
data,24,25.8,DR27.5-150 psi,,0.938181818,23.86734545,1.988945455,3.106959753,2.51E-06,0.000007
data,24,25.8,DR32.5-125 psi,,0.793846154,24.16467692,2.013723077,3.18485288,2.48E-06,0.000007
data,24,25.8,DR41-100 psi,,0.629268293,24.50370732,2.04197561,3.274846755,2.45E-06,0.000007
data,24,25.8,DR51 - 80 psi,,0.505882353,24.75788235,2.063156863,3.343138577,2.42E-06,0.000007
data,30,32,DR17-250 psi,,1.882352941,28.12235294,2.343529412,4.313508897,2.13E-06,0.000007
data,30,32,DR18-235 psi,,1.777777778,28.33777778,2.361481481,4.379847304,2.12E-06,0.000007
data,30,32,DR21-200 psi,,1.523809524,28.86095238,2.405079365,4.54306244,2.08E-06,0.000007
data,30,32,DR25-165 psi,,1.28,29.3632,2.446933333,4.702557946,2.04E-06,0.000007
data,30,32,DR27.5-150 psi,,1.163636364,29.60290909,2.466909091,4.779650843,2.03E-06,0.000007
data,30,32,DR32.5-125 psi,,0.984615385,29.97169231,2.497641026,4.899479221,2.00E-06,0.000007
data,30,32,DR41-100 psi,,0.780487805,30.39219512,2.532682927,5.037923016,1.97E-06,0.000007
data,30,32,DR51 - 80 psi,,0.62745098,30.70745098,2.558954248,5.142981046,1.95E-06,0.000007
data,36,38.3,DR18-235 psi,,2.127777778,33.91677778,2.826398148,6.274174035,1.77E-06,0.000007
data,36,38.3,DR21-200 psi,,1.823809524,34.54295238,2.878579365,6.507981311,1.74E-06,0.000007
data,36,38.3,DR25-165 psi,,1.532,35.14408,2.928673333,6.736460181,1.71E-06,0.000007
data,36,38.3,DR27.5-150 psi,,1.392727273,35.43098182,2.952581818,6.846896508,1.69E-06,0.000007
data,36,38.3,DR32.5-125 psi,,1.178461538,35.87236923,2.989364103,7.018551831,1.67E-06,0.000007
data,36,38.3,DR41-100 psi,,0.934146341,36.37565854,3.031304878,7.21687392,1.65E-06,0.000007
data,36,38.3,DR51 - 80 psi,,0.750980392,36.75298039,3.062748366,7.367370572,1.63E-06,0.000007
data,42,44.5,DR21-200 psi,,2.119047619,40.1347619,3.344563492,8.785546285,1.49E-06,0.000007
data,42,44.5,DR25-165 psi,,1.78,40.8332,3.402766667,9.093984738,1.47E-06,0.000007
data,42,44.5,DR27.5-150 psi,,1.618181818,41.16654545,3.430545455,9.243069903,1.46E-06,0.000007
data,42,44.5,DR32.5-125 psi,,1.369230769,41.67938462,3.473282051,9.474798562,1.44E-06,0.000007
data,42,44.5,DR41-100 psi,,1.085365854,42.26414634,3.522012195,9.742526419,1.42E-06,0.000007
data,42,44.5,DR51 - 80 psi,,0.87254902,42.70254902,3.558545752,9.945691617,1.41E-06,0.000007
data,48,50.8,DR25-165 psi,,2.032,46.61408,3.884506667,11.8511808,1.29E-06,0.000007
data,48,50.8,DR27.5-150 psi,,1.847272727,46.99461818,3.916218182,12.04546694,1.28E-06,0.000007
data,48,50.8,DR32.5-125 psi,,1.563076923,47.58006154,3.965005128,12.34745318,1.26E-06,0.000007
